starttime,start station latitude,start station longitude,end station latitude,end station longitude,gender
6/30/14 8:04,40.71291224,-74.01020234,40.74334935,-74.00681753,1
6/30/14 8:04,40.68900443,-73.96023854,40.69794,-73.96986848,2
6/30/14 8:04,40.76020258,-73.96478473,40.75714758,-73.97207836,1
6/30/14 8:04,40.74025878,-73.98409214,40.74315566,-73.97434726,1
6/30/14 8:04,40.74290902,-73.97706058,40.73038599,-74.00214988,1
6/30/14 8:04,40.7153379,-74.01658354,40.70122128,-74.01234218,1
6/30/14 8:05,40.74765947,-73.98490707,40.74780373,-73.9734419,1
6/30/14 8:05,40.74238787,-73.99726235,40.75066386,-74.00176802,1
6/30/14 8:05,40.71748752,-74.0104554,40.71273266,-74.0046073,1
6/30/14 8:05,40.71622644,-73.98261206,40.76064679,-73.98442659,1
6/30/14 8:05,40.72679454,-73.99695094,40.734232,-73.986923,2
6/30/14 8:05,40.75500254,-73.98014437,40.71494807,-74.00234482,1
6/30/14 8:05,40.71534825,-73.96024116,40.71260486,-73.96264403,2
6/30/14 8:05,40.76341379,-73.99667444,40.76915505,-73.98191841,1
6/30/14 8:05,40.7652654,-73.98192338,40.76064679,-73.98442659,1
6/30/14 8:05,40.70862144,-74.00722156,40.71473993,-74.00910627,2
6/30/14 8:05,40.74345335,-74.00004031,40.75299641,-73.98721619,1
6/30/14 8:05,40.76227205,-73.98788205,40.75929124,-73.98859651,1
6/30/14 8:05,40.70255065,-74.0127234,40.734232,-73.986923,2
6/30/14 8:05,40.70255065,-74.0127234,40.734232,-73.986923,1
6/30/14 8:05,40.714215,-73.981346,40.70955958,-74.00653609,1
6/30/14 8:05,40.72521311,-73.97768752,40.73454567,-73.99074142,1
6/30/14 8:05,40.7489006,-73.97604882,40.7546011,-73.97187886,1
6/30/14 8:05,40.74177603,-74.00149746,40.752416,-73.97837,1
6/30/14 8:05,40.76030096,-73.99884222,40.72710258,-74.00297088,1
6/30/14 8:05,40.74444921,-73.98303529,40.75500254,-73.98014437,1
6/30/14 8:05,40.75645824,-73.99372222,40.75466591,-73.99138152,1
6/30/14 8:05,40.71291224,-74.01020234,40.70255065,-74.0127234,1
6/30/14 8:05,40.75044999,-73.99481051,40.74317449,-74.00366443,2
6/30/14 8:05,40.749156,-73.9916,40.7423543,-73.98915076,1
6/30/14 8:05,40.771522,-73.990541,40.7546011,-73.97187886,1
6/30/14 8:05,40.73172428,-74.00674436,40.73901691,-74.00263761,2
6/30/14 8:05,40.76030096,-73.99884222,40.71450451,-74.00562789,1
6/30/14 8:05,40.73047309,-73.98672378,40.72710258,-74.00297088,2
6/30/14 8:05,40.7652654,-73.98192338,40.7643971,-73.97371465,1
6/30/14 8:05,40.69597683,-73.99014892,40.75828065,-73.97069431,1
6/30/14 8:05,40.7037992,-74.00838676,40.71269042,-73.98776323,1
6/30/14 8:05,40.74315566,-73.97434726,40.73047747,-73.99906065,1
6/30/14 8:05,40.70277159,-73.99383605,40.69178232,-73.97372989,1
6/30/14 8:05,40.76030096,-73.99884222,40.70717936,-74.00887308,2
6/30/14 8:05,40.70281858,-73.98765762,40.69236178,-73.98631746,1
6/30/14 8:05,40.70905623,-74.01043382,40.711512,-74.015756,1
6/30/14 8:05,40.75019995,-73.99093085,40.76340613,-73.97722479,1
6/30/14 8:05,40.72710258,-74.00297088,40.72185379,-74.00771779,1
